,Age,Gender,Weight,Daily Water Intake,Physical Activity Level,Weather,Hydration Level
219,51,Male,82,3.27,High,Normal,Good
220,35,Female,74,3.27,High,Normal,Good
221,68,Male,107,4.84,High,Hot,Good
222,55,Female,74,2.74,Low,Hot,Good
223,68,Male,49,1.5,Low,Cold,Good
224,27,Female,100,4.54,Moderate,Hot,Good
225,34,Male,78,2.66,Moderate,Cold,Good
226,19,Male,87,3.05,High,Cold,Good
227,68,Male,67,2.04,High,Cold,Good
228,48,Male,60,2.64,Low,Hot,Good
229,57,Female,48,1.69,High,Cold,Good
230,20,Male,71,3.5,Moderate,Hot,Good
231,67,Male,105,2.54,Low,Normal,Poor
232,36,Female,65,2.12,Moderate,Normal,Good
233,45,Female,86,2.96,High,Cold,Good
234,38,Male,45,1.5,Low,Normal,Good
235,29,Female,90,4.26,High,Hot,Good
236,31,Male,89,2.19,Low,Cold,Poor
237,43,Female,91,3.56,Low,Hot,Good
238,64,Female,100,4.27,Moderate,Hot,Good
239,65,Female,105,2.85,Moderate,Normal,Poor
240,53,Female,45,1.5,Low,Cold,Good
241,52,Male,96,3.29,High,Normal,Good
242,39,Male,58,2.86,High,Normal,Good
243,40,Female,46,1.83,Moderate,Cold,Good
244,31,Male,103,3.34,Moderate,Normal,Good
245,24,Female,47,2.51,High,Cold,Good
246,63,Female,62,1.51,Low,Normal,Poor
247,52,Female,59,1.5,Moderate,Cold,Poor
248,54,Female,72,3.08,High,Hot,Good
249,34,Female,88,2.87,Moderate,Normal,Good
250,30,Female,69,2.25,Low,Normal,Good
251,20,Female,62,1.5,Low,Cold,Poor
252,64,Female,78,2.8,High,Cold,Good
253,57,Male,86,2.56,Moderate,Normal,Poor
254,23,Female,96,4.03,High,Normal,Good
255,51,Female,103,3.35,Low,Hot,Good
256,62,Male,77,1.52,Low,Normal,Poor
257,38,Male,48,2.99,Moderate,Hot,Good
258,47,Male,68,2.44,Low,Normal,Good
259,20,Female,75,2.16,Low,Normal,Poor
260,53,Female,68,3.05,High,Hot,Good
261,19,Female,48,2.65,High,Hot,Good
262,66,Female,95,3.57,Low,Hot,Good
263,19,Female,52,2.24,High,Cold,Good
264,62,Male,88,2.75,High,Cold,Good
265,43,Female,63,2.59,High,Normal,Good
266,37,Male,56,2.49,Moderate,Hot,Good
267,43,Male,58,2.73,Moderate,Hot,Good
268,54,Female,55,2.98,Moderate,Hot,Good
269,30,Female,47,1.66,Low,Hot,Good
270,67,Male,54,1.57,Moderate,Cold,Poor
271,27,Male,88,3.04,High,Cold,Good
272,57,Female,46,1.5,Low,Cold,Good
273,54,Male,61,1.85,Low,Hot,Good
274,32,Male,68,3.35,Moderate,Hot,Good
275,52,Male,93,3.04,Moderate,Cold,Good
276,61,Female,94,2.34,Moderate,Cold,Poor
277,28,Female,53,1.5,Moderate,Cold,Poor
278,52,Male,79,2.5,Low,Normal,Good
279,39,Male,104,3.16,Low,Cold,Good
280,25,Male,55,2.65,High,Cold,Good
281,31,Male,104,2.48,Low,Cold,Poor
282,38,Female,81,3.24,Moderate,Normal,Good
283,31,Female,70,2.21,Low,Cold,Good
284,42,Female,86,2.47,Low,Normal,Poor
285,57,Male,83,2.1,Low,Cold,Poor
286,49,Male,95,2.97,Low,Normal,Good
287,50,Male,67,2.65,High,Cold,Good
288,50,Male,69,1.93,Low,Normal,Poor
289,64,Female,97,4.02,High,Normal,Good
290,68,Female,83,2.01,Moderate,Cold,Poor
291,23,Male,51,1.96,Moderate,Cold,Good
292,59,Female,108,3.61,High,Normal,Good
293,64,Female,73,1.59,Low,Cold,Poor
294,47,Female,71,2.12,Low,Cold,Poor
295,55,Female,101,3.04,Moderate,Normal,Good
296,54,Female,71,2.27,Moderate,Cold,Good
297,21,Male,54,1.81,Moderate,Cold,Good
298,27,Male,82,4.2,High,Hot,Good
299,64,Female,96,3.18,High,Cold,Good
300,46,Female,52,1.91,Low,Hot,Good
301,64,Female,89,3.29,High,Cold,Good
302,48,Female,80,3.14,Low,Hot,Good
303,60,Female,71,2.68,High,Normal,Good
304,28,Female,82,2.89,Low,Hot,Good
305,40,Female,91,3.52,High,Normal,Good
306,60,Female,56,2.29,Moderate,Normal,Good
307,57,Female,106,3.18,Low,Hot,Good
308,50,Male,104,4.91,High,Hot,Good
309,61,Female,49,2.79,Moderate,Hot,Good
310,25,Male,75,2.06,Low,Cold,Poor
311,68,Male,73,2.19,Low,Hot,Good
312,58,Male,55,1.8,Moderate,Normal,Good
313,63,Female,65,2.32,High,Normal,Good
314,53,Male,98,4.18,Moderate,Hot,Good
315,18,Male,107,3.72,High,Cold,Good
316,68,Female,84,3.33,High,Normal,Good
317,64,Male,97,4.15,High,Hot,Good
318,69,Male,101,2.73,Moderate,Normal,Poor
319,58,Male,79,2.67,High,Cold,Good
320,42,Female,82,3.31,High,Normal,Good
321,35,Male,78,2.76,Low,Normal,Good
322,60,Female,103,3.24,Moderate,Normal,Good
323,68,Female,98,2.02,Low,Cold,Poor
324,24,Male,96,3.5,Low,Hot,Good
325,41,Male,77,2.37,Moderate,Cold,Good
326,60,Female,66,1.9,Moderate,Normal,Poor
327,67,Male,93,3.87,High,Hot,Good
328,37,Male,93,3.85,High,Normal,Good
329,39,Male,107,4.41,Low,Hot,Good
330,66,Female,45,1.86,High,Normal,Good
331,47,Female,95,2.76,Moderate,Cold,Poor
332,36,Male,106,3.39,Moderate,Normal,Good
333,46,Male,93,2.03,Low,Cold,Poor
334,47,Male,60,2.86,High,Normal,Good
335,35,Male,45,2.63,High,Normal,Good
336,64,Male,82,3.13,High,Cold,Good
337,21,Female,45,1.5,Low,Cold,Good
338,56,Male,47,2.18,Moderate,Hot,Good
339,27,Female,78,3.95,High,Hot,Good
340,40,Male,99,2.63,Low,Normal,Poor
341,67,Male,51,2.09,High,Cold,Good
342,18,Male,101,2.95,Moderate,Cold,Poor
343,41,Female,103,4.8,High,Hot,Good
344,25,Female,98,3.48,High,Cold,Good
345,54,Female,95,3.7,High,Normal,Good
346,64,Female,52,1.56,Low,Hot,Good
347,49,Male,76,2.64,Low,Normal,Good
348,60,Male,60,1.6,Moderate,Cold,Poor
349,54,Male,98,3.04,High,Cold,Good
350,48,Female,99,3.57,Moderate,Cold,Good
351,24,Female,51,1.5,Low,Cold,Poor
352,38,Female,63,2.01,Moderate,Normal,Good
353,36,Male,80,3.24,Low,Hot,Good
354,35,Male,46,1.5,Low,Cold,Good
355,22,Female,64,3.46,High,Hot,Good
356,19,Male,56,3.01,High,Normal,Good
357,54,Male,82,3.63,Moderate,Hot,Good
358,26,Female,97,2.9,Moderate,Cold,Poor
359,69,Female,68,2.55,Moderate,Hot,Good
360,47,Female,103,4.68,Moderate,Hot,Good
361,49,Female,58,2.98,High,Normal,Good
362,19,Female,69,2.53,Low,Hot,Good
363,39,Male,48,1.5,Moderate,Cold,Good
364,46,Male,81,2.65,Low,Hot,Good
365,35,Female,86,2.36,Low,Cold,Poor
366,55,Male,78,2.29,Moderate,Cold,Poor
367,42,Male,71,3.23,High,Cold,Good
368,23,Male,84,2.77,Moderate,Normal,Good
369,62,Male,97,2.99,High,Cold,Good
370,62,Male,61,1.65,Moderate,Cold,Poor
371,45,Male,106,4.4,Moderate,Hot,Good
372,19,Female,98,3.88,Low,Hot,Good
373,68,Male,97,2.41,Low,Cold,Poor
374,43,Female,73,3.78,High,Hot,Good
375,57,Male,55,1.91,High,Cold,Good
376,66,Male,103,2.29,Low,Cold,Poor
377,52,Female,98,2.62,Low,Normal,Poor
378,64,Male,68,2.88,High,Cold,Good
379,22,Male,100,3.41,High,Cold,Good
380,53,Male,64,1.5,Low,Cold,Poor
381,69,Male,106,4.04,High,Cold,Good
382,60,Female,70,2.77,High,Normal,Good
383,26,Female,84,3.45,High,Cold,Good
384,42,Female,105,3.84,Moderate,Normal,Good
385,59,Male,69,2.02,Moderate,Normal,Poor
386,20,Male,88,2.81,Low,Cold,Good
387,55,Female,56,2.24,High,Normal,Good
388,61,Male,103,3.41,Moderate,Cold,Good
389,34,Male,101,2.68,Low,Cold,Poor
390,64,Female,56,1.62,Moderate,Cold,Poor
391,41,Male,52,3.4,High,Hot,Good
392,34,Male,69,4.17,High,Hot,Good
393,29,Male,59,2.96,High,Normal,Good
394,58,Male,70,2.34,High,Normal,Good
395,27,Male,60,3.23,High,Normal,Good
396,40,Female,70,2.67,Moderate,Normal,Good
397,24,Female,58,1.86,Moderate,Normal,Good
398,24,Female,53,1.98,Low,Hot,Good
399,25,Male,103,4.03,Moderate,Normal,Good
400,35,Male,83,2.15,Low,Cold,Poor
401,59,Male,61,1.5,Low,Cold,Poor
402,41,Male,104,3.1,Low,Normal,Poor
403,20,Female,81,3.16,High,Cold,Good
404,43,Female,99,3.57,Low,Hot,Good
405,56,Female,59,2.47,High,Cold,Good
406,21,Female,69,2.51,Moderate,Cold,Good
407,50,Female,60,2.43,Low,Hot,Good
408,61,Female,99,3.63,High,Normal,Good
409,51,Female,74,1.5,Low,Cold,Poor
410,30,Female,57,2.29,High,Cold,Good
411,49,Female,83,2.7,Low,Hot,Good
412,46,Male,106,4.47,High,Hot,Good
413,61,Female,101,3.31,Moderate,Normal,Good
414,61,Female,54,2.61,High,Hot,Good
415,56,Male,49,3.1,High,Hot,Good
416,66,Male,47,1.5,Low,Cold,Good
417,47,Male,62,2.29,High,Cold,Good
418,42,Male,92,2.98,High,Cold,Good
419,63,Female,59,2.55,Moderate,Hot,Good
420,41,Female,56,3.84,High,Hot,Good
421,54,Female,105,3.31,High,Cold,Good
422,23,Male,83,4.57,High,Hot,Good
423,63,Male,55,2.25,Moderate,Normal,Good
424,51,Male,69,2.71,Low,Hot,Good
425,21,Female,103,3.99,High,Normal,Good
426,46,Female,107,3.94,High,Normal,Good
427,68,Female,101,2.65,Moderate,Cold,Poor
428,66,Male,47,1.64,Moderate,Cold,Good
429,22,Female,49,1.5,Low,Cold,Good
430,40,Female,93,3.81,High,Normal,Good
431,37,Male,105,3.61,High,Cold,Good
432,52,Female,94,4.21,High,Hot,Good
433,34,Male,47,2.43,Low,Hot,Good
434,55,Male,57,1.63,Moderate,Normal,Poor
435,64,Male,58,3.5,High,Hot,Good
436,28,Female,100,3.77,High,Normal,Good
437,45,Male,73,2.58,Low,Normal,Good
438,42,Male,86,2.89,Low,Normal,Good
439,57,Male,69,2.82,High,Normal,Good
440,51,Male,82,2.62,Low,Hot,Good
441,22,Male,92,4.46,High,Hot,Good
442,23,Male,81,2.35,Moderate,Cold,Poor
443,30,Male,72,2.44,High,Cold,Good
444,34,Male,84,2.6,Low,Cold,Good
445,46,Male,102,3.63,Moderate,Normal,Good
446,57,Female,84,2.99,Low,Hot,Good
447,62,Female,77,4.09,High,Hot,Good
448,36,Male,84,1.97,Low,Cold,Poor
449,65,Female,85,2.58,Moderate,Normal,Good
450,62,Female,97,3.49,High,Cold,Good
451,44,Female,82,1.85,Low,Cold,Poor
452,22,Male,89,3.24,Moderate,Cold,Good
453,68,Female,75,2.98,High,Cold,Good
454,27,Female,76,2.62,Moderate,Normal,Good
455,47,Female,83,3.85,High,Hot,Good
456,53,Female,46,2.61,Moderate,Hot,Good
457,46,Female,56,1.89,Low,Hot,Good
458,49,Male,57,2.03,Moderate,Cold,Good
459,66,Male,61,1.85,Low,Hot,Good
460,51,Male,104,2.03,Low,Cold,Poor
461,62,Male,79,1.5,Low,Cold,Poor
462,36,Male,74,1.74,Low,Normal,Poor
463,58,Female,107,2.5,Low,Cold,Poor
464,32,Female,81,2.53,Moderate,Normal,Good
465,21,Female,64,3.31,Moderate,Hot,Good
466,67,Male,108,3.65,Moderate,Normal,Good
467,39,Male,61,2.91,High,Normal,Good
468,18,Female,66,2.8,Low,Hot,Good
469,35,Female,94,3.01,Low,Cold,Good
470,64,Female,73,2.54,High,Cold,Good
471,52,Male,96,2.84,Low,Normal,Poor
472,24,Female,73,3.41,High,Hot,Good
473,23,Male,76,3.25,Low,Hot,Good
474,40,Male,70,2.76,High,Normal,Good
475,51,Female,73,3.33,High,Normal,Good
476,52,Female,57,3.46,High,Hot,Good
477,32,Female,73,3.08,Low,Hot,Good
478,69,Female,76,2.26,Low,Hot,Poor
479,31,Male,66,2.31,Low,Hot,Good
480,20,Male,100,3.43,Moderate,Normal,Good
481,38,Male,91,2.85,Moderate,Cold,Good
482,37,Male,50,3.46,High,Hot,Good
483,22,Male,47,2.42,Moderate,Hot,Good
484,55,Female,59,2.42,Low,Hot,Good
485,52,Male,108,4.31,High,Normal,Good
486,41,Male,56,2.94,Moderate,Hot,Good
487,61,Male,71,2.5,Moderate,Cold,Good
488,63,Female,61,1.5,Moderate,Cold,Poor
489,25,Male,71,3.67,Moderate,Hot,Good
490,69,Male,47,1.5,Low,Normal,Good
491,61,Male,97,3.72,Low,Hot,Good
492,20,Male,64,3.22,High,Normal,Good
493,42,Female,61,3.14,Moderate,Hot,Good
494,37,Female,53,1.99,Low,Hot,Good
495,39,Male,46,2.68,High,Normal,Good
496,28,Male,108,4.4,Moderate,Hot,Good
497,25,Female,65,2.02,Moderate,Normal,Good
498,35,Female,82,1.95,Low,Cold,Poor
499,62,Female,77,2.96,Moderate,Normal,Good
500,58,Male,52,1.68,Moderate,Cold,Good
501,68,Female,85,2.49,Moderate,Normal,Poor
502,63,Female,76,2.2,High,Cold,Poor
503,39,Female,64,2.47,High,Cold,Good
504,57,Female,76,3.42,High,Normal,Good
505,50,Male,46,1.5,Low,Cold,Good
506,58,Female,74,2.15,High,Cold,Poor
507,69,Male,70,2.9,Moderate,Hot,Good
508,19,Male,82,3.23,Low,Hot,Good
509,63,Male,59,2.87,High,Hot,Good
510,61,Female,93,2.64,Low,Cold,Poor
511,20,Female,50,2.09,Moderate,Normal,Good
512,26,Female,76,2.28,Moderate,Cold,Good
513,29,Male,52,2.21,Moderate,Cold,Good
514,45,Female,106,3.46,Low,Normal,Good
515,64,Female,51,2.09,High,Cold,Good
516,33,Female,48,2.54,High,Normal,Good
517,39,Male,70,2.58,Moderate,Normal,Good
518,58,Male,104,4.25,Moderate,Hot,Good
519,28,Female,56,1.5,Low,Normal,Poor
520,30,Female,69,2.44,Low,Normal,Good
521,36,Male,99,4.14,Moderate,Hot,Good
522,62,Female,52,1.83,Moderate,Cold,Good
523,49,Male,95,3.01,Moderate,Normal,Good
524,23,Female,62,3.01,High,Normal,Good
525,54,Male,100,3.37,Moderate,Cold,Good
526,20,Female,72,3.06,Moderate,Hot,Good
527,52,Male,105,4.12,High,Hot,Good
528,32,Male,51,1.5,Low,Cold,Poor
529,47,Female,75,2.87,Low,Hot,Good
530,41,Female,64,2.05,Low,Normal,Good
531,45,Female,64,2.92,High,Normal,Good
532,67,Male,93,2.5,Low,Normal,Poor
533,58,Female,80,2.33,Low,Hot,Poor
534,51,Male,78,2.83,Moderate,Normal,Good
535,56,Male,86,2.47,Low,Cold,Poor
536,29,Male,47,1.53,Low,Normal,Good
537,57,Male,65,2.38,Moderate,Normal,Good
538,52,Male,70,2.72,High,Cold,Good
539,65,Female,86,2.52,Moderate,Normal,Poor
540,31,Male,46,1.76,Low,Hot,Good
541,22,Male,82,2.45,Low,Normal,Poor
542,64,Female,58,1.5,Low,Normal,Poor
543,42,Male,46,1.5,Low,Cold,Good
544,34,Female,72,3.12,Moderate,Hot,Good
545,54,Female,49,2.7,High,Hot,Good
546,57,Male,100,2.3,Low,Cold,Poor
547,40,Female,91,4.16,High,Hot,Good
548,27,Male,58,1.57,Low,Normal,Poor
549,46,Male,54,2.99,Moderate,Hot,Good
550,58,Male,45,1.5,Moderate,Normal,Good
551,25,Female,87,3.76,Low,Hot,Good
552,37,Female,72,1.7,Low,Normal,Poor
553,54,Female,91,3.79,Moderate,Hot,Good
554,54,Male,93,3.83,High,Normal,Good
555,61,Male,100,2.49,Low,Cold,Poor
556,32,Male,50,2.41,Moderate,Hot,Good
557,37,Male,46,1.5,Low,Normal,Good
558,54,Female,64,1.67,Moderate,Normal,Poor
559,18,Female,79,3.02,Low,Hot,Good
560,22,Female,77,2.32,Low,Normal,Good
561,31,Female,56,1.83,Moderate,Normal,Good
562,67,Male,87,2.83,High,Normal,Good
563,42,Female,94,4.99,High,Hot,Good
564,56,Male,100,3.42,Low,Hot,Good
565,67,Male,67,2.88,High,Normal,Good
566,37,Male,67,1.54,Low,Normal,Poor
567,62,Male,96,3.98,Moderate,Hot,Good
568,59,Female,52,1.73,Low,Normal,Good
569,18,Female,52,2.92,High,Hot,Good
570,55,Male,49,2.63,High,Normal,Good
571,64,Male,78,2.7,Moderate,Normal,Good
572,43,Male,87,3.49,Low,Hot,Good
573,67,Male,61,1.86,Low,Normal,Good
574,64,Female,90,3.52,Low,Hot,Good
575,18,Male,63,2.53,Moderate,Cold,Good
576,31,Male,97,4.28,Moderate,Hot,Good
577,58,Female,106,3.04,Low,Normal,Poor
578,67,Female,108,3.19,Low,Hot,Poor
579,26,Female,77,2.92,Low,Hot,Good
580,65,Male,57,2.39,Low,Hot,Good
581,30,Female,75,2.19,Low,Cold,Poor
582,21,Male,48,3.31,High,Hot,Good
583,23,Female,57,3.21,Moderate,Hot,Good
584,36,Male,45,1.5,Moderate,Normal,Good
585,24,Female,59,3.1,Moderate,Hot,Good
586,24,Male,59,2.67,Low,Hot,Good
587,46,Female,77,2.05,Low,Normal,Poor
588,66,Female,79,1.8,Low,Normal,Poor
589,43,Male,55,2.45,High,Cold,Good
